pickup_zip,dropoff_zip,distance_miles
56589,75201,994.5
75201,91770,1230.9
91770,75201,1230.9
75201,28169,898.2
28169,75201,898.2
75201,25843,945.1
25843,75201,945.1
75201,51649,560.4
51649,75201,560.4
75201,99158,1460.4
99158,75201,1460.4
75201,55713,1036.2
55713,75201,1036.2
75201,20779,1205.4
20779,75201,1205.4
75201,44087,1030.2
44087,75201,1030.2
75201,04220,1628.3
04220,75201,1628.3
75201,92602,1211.4
92602,75201,1211.4
75201,44417,1069.4
44417,75201,1069.4
75201,12768,1362.4
12768,75201,1362.4
75201,63030,502.4
63030,75201,502.4
75201,05250,1465.6
05250,75201,1465.6
75201,87113,584.7
87113,75201,584.7
75201,41222,858.9
41222,75201,858.9
75201,32948,1026.2
32948,75201,1026.2
75201,71286,324.3
71286,75201,324.3
75201,67751,479.7
67751,75201,479.7
75201,04956,1650.8
04956,75201,1650.8
75201,04668,1770.9
04668,75201,1770.9
75201,29714,923.1
29714,75201,923.1
75201,70516,313.3
70516,75201,313.3
75201,28027,940.9
28027,75201,940.9
75201,81073,462.9
81073,75201,462.9
75201,46501,822.7
46501,75201,822.7
75201,70114,445.6
70114,75201,445.6
75201,11003,1387.4
11003,75201,1387.4
75201,68130,583.4
68130,75201,583.4
75201,59642,1188.8
59642,75201,1188.8
75201,80468,714.1
80468,75201,714.1
75201,43346,896.2
43346,75201,896.2
75201,41567,883.9
41567,75201,883.9
75201,50665,710.3
50665,75201,710.3
75201,20716,1200.9
20716,75201,1200.9
75201,25981,977.1
25981,75201,977.1
75201,78739,191.2
78739,75201,191.2
75201,61845,700.5
61845,75201,700.5
75201,86314,902.5
86314,75201,902.5
75201,28538,1115.9
28538,75201,1115.9
75201,68071,651.8
68071,75201,651.8
75201,45836,913.2
45836,75201,913.2
75201,11369,1380.3
11369,75201,1380.3
75201,97703,1541.7
97703,75201,1541.7
75201,01606,1514.3
01606,75201,1514.3
75201,50585,704.0
50585,75201,704.0
75201,04924,1676.1
04924,75201,1676.1
75201,63108,546.0
63108,75201,546.0
75201,13111,1311.3
13111,75201,1311.3
75201,49441,917.4
49441,75201,917.4
75201,67059,359.6
67059,75201,359.6
75201,14860,1280.9
14860,75201,1280.9
75201,31743,750.4
31743,75201,750.4
75201,16735,1161.1
16735,75201,1161.1
75201,90278,1247.9
90278,75201,1247.9
75201,50111,635.8
50111,75201,635.8
75201,27803,1102.3
27803,75201,1102.3
75201,71048,229.8
71048,75201,229.8
75201,62221,553.3
62221,75201,553.3
75201,55769,1031.3
55769,75201,1031.3
75201,25420,1137.1
25420,75201,1137.1
75201,92394,1188.6
92394,75201,1188.6
75201,48861,943.3
48861,75201,943.3
75201,70757,352.3
70757,75201,352.3
75201,74855,188.3
74855,75201,188.3
75201,77514,249.2
77514,75201,249.2
75201,51537,616.4
51537,75201,616.4
75201,76226,30.9
76226,75201,30.9
75201,49106,844.9
49106,75201,844.9
75201,31909,692.0
31909,75201,692.0
75201,29560,988.2
29560,75201,988.2
75201,22207,1179.3
22207,75201,1179.3
75201,52555,584.7
52555,75201,584.7
75201,53952,852.9
53952,75201,852.9
90210,90280,16.8
90280,90210,16.8
90210,26384,2109.0
26384,90210,2109.0
90210,71935,1408.4
71935,90210,1408.4
90210,44706,2069.6
44706,90210,2069.6
90210,32063,2131.9
32063,90210,2131.9
90210,60187,1728.2
60187,90210,1728.2
90210,83465,778.0
83465,90210,778.0
90210,32258,2167.2
32258,90210,2167.2
90210,53022,1743.7
53022,90210,1743.7
90210,58654,1161.1
58654,90210,1161.1
90210,47120,1814.4
47120,90210,1814.4
90210,68715,1253.6
68715,90210,1253.6
90210,36049,1866.7
36049,90210,1866.7
90210,52325,1530.6
52325,90210,1530.6
90210,72046,1509.9
72046,90210,1509.9
90210,64659,1439.3
64659,90210,1439.3
90210,97640,619.3
97640,90210,619.3
90210,92656,53.6
92656,90210,53.6
90210,47616,1721.0
47616,90210,1721.0
90210,27601,2245.6
27601,90210,2245.6
90210,97364,808.0
97364,90210,808.0
90210,64112,1363.5
64112,90210,1363.5
90210,32266,2171.5
32266,90210,2171.5
90210,44076,2102.0
44076,90210,2102.0
90210,66223,1358.1
66223,90210,1358.1
90210,56589,1486.4
56589,90210,1486.4
90210,91770,19.2
91770,90210,19.2
90210,28169,2094.3
28169,90210,2094.3
90210,25843,2092.2
25843,90210,2092.2
90210,51649,1336.0
51649,90210,1336.0
90210,99158,901.2
99158,90210,901.2
90210,55713,1619.5
55713,90210,1619.5
90210,20779,2332.8
20779,90210,2332.8
90210,44087,2069.3
44087,90210,2069.3
90210,04220,2633.5
04220,90210,2633.5
90210,92602,47.2
92602,90210,47.2
90210,44417,2109.9
44417,90210,2109.9
90210,12768,2417.6
12768,90210,2417.6
90210,63030,1566.2
63030,90210,1566.2
90210,05250,2493.1
05250,90210,2493.1
